T, Cp, H, S
200, 20.7861495, 4157.2299, 145.001543868
300, 20.7861495, 6235.84485, 153.429602222
400, 20.7861495, 8314.4598, 159.409404788
500, 20.7861495, 10393.07475, 164.047700006
600, 20.7861495, 12471.6897, 167.837463142
700, 20.7861495, 14550.30465, 171.041662219
800, 20.7861495, 16628.9196, 173.817265709
900, 20.7861495009, 18707.53455, 176.265521497
1000, 20.7861495154, 20786.1495006, 178.455560927
1100, 20.7861496571, 22864.7644569, 180.436692579
1200, 20.7861505738, 24943.3794559, 182.245324112
1300, 20.7861548902, 27021.9946793, 183.909104016
1400, 20.7861707522, 29100.6108056, 185.449524269
1500, 20.7862186257, 31179.2298717, 186.883623232
1600, 20.7863419175, 33257.857004, 188.225138401
1700, 20.7866208852, 35336.5033862, 189.485309824
1800, 20.7871881459, 37415.1907159, 190.673454377
1900, 20.788243369, 39493.9571929, 191.797385392
2000, 20.7900646848, 41572.8648312, 192.863725209
2100, 20.7930148917, 43652.0076646, 193.878141828
2200, 20.7975414439, 45731.5202665, 194.845530601
2300, 20.8041701765, 47811.5859515, 195.770155372
2400, 20.8134935264, 49892.4440658, 196.655759157
2500, 20.8261545486, 51974.3958769, 197.505651655
2600, 20.8428282676, 54057.8087186, 198.322778894
2700, 20.8642019006, 56143.1182026, 199.109778998
2800, 20.8909553099, 58230.8284533, 199.869027087
2900, 20.9237427662, 60321.5104462, 200.602671629
3000, 20.9631767951, 62415.7986208, 201.312664041
3100, 21.0098145817, 64514.3860043, 202.000782949
3200, 21.0641471507, 66618.0181127, 202.668654198
3300, 21.1265913351, 68727.4859104, 203.317767502
3400, 21.1974843977, 70843.618101, 203.949490402
3500, 21.2770810682, 72967.2730031, 204.565080077
3600, 21.3655527025, 75099.3302385, 205.165693447
3700, 21.4629882477, 77240.6824296, 205.752395886
3800, 21.5693966926, 79392.2270696, 206.326168821
3900, 21.6847107032, 81554.8587001, 206.887916423
4000, 21.808791168, 83729.4614994, 207.438471556
4100, 21.9414324069, 85916.9023606, 207.978601115
4200, 22.0823678358, 88118.0245149, 208.509010841
4300, 22.231275907, 90333.6417368, 209.030349723
4400, 22.3877861785, 92564.5331505, 209.543214018
4500, 22.5514853929, 94811.4386448, 210.048150962
4600, 22.7219234694, 97075.0548923, 210.545662204
4700, 22.8986193349, 99356.0319599, 211.036207003
4800, 23.0810665364, 101654.970493, 211.5202052
4900, 23.2687385935, 103972.419446, 211.998040006
5000, 23.4610940593, 106308.874336, 212.470060607
5100, 23.6575812707, 108664.775989, 212.936584609
5200, 23.8576427756, 111040.509735, 213.397900341
5300, 24.060719432, 113436.405047, 213.854269011
5400, 24.2662541774, 115852.735552, 214.305926739
5500, 24.4736954753, 118289.719424, 214.753086468
5600, 24.6825004445, 120747.52009, 215.195939767
5700, 24.8921376824, 123226.24724, 215.634658517
5800, 25.1020897964, 125725.958104, 216.069396507
5900, 25.3118556578, 128246.65897, 216.500290928
6000, 25.5209523946, 130788.306909, 216.927463782
6100, 25.7289171424, 133350.811692, 217.3510232
6200, 25.9353085724, 135934.037868, 217.771064684
6300, 26.1397082165, 138537.806987, 218.18767227
6400, 26.3417216105, 141161.899942, 218.60091962
6500, 26.5409792769, 143806.059423, 219.010871047
6600, 26.7371375696, 146469.992456, 219.41758247
6700, 26.9298794004, 149153.373025, 219.821102317
6800, 27.1189148717, 151855.84476, 220.221472365
6900, 27.3039818331, 154577.023684, 220.618728531
7000, 27.4848463853, 157316.501014, 221.012901611
7100, 27.6613033496, 160073.846009, 221.404017975
7200, 27.8331767215, 162848.608865, 221.792100221
7300, 28.0003201255, 165640.323654, 222.177167785
7400, 28.1626172885, 168448.511314, 222.559237523
7500, 28.3199825431, 171272.68268, 222.938324257
7600, 28.4723613767, 174112.341574, 223.314441288
7700, 28.6197310329, 176966.987947, 223.687600892
7800, 28.7621011779, 179836.121093, 224.057814782
7900, 28.8995146341, 182719.242922, 224.425094557
8000, 29.0320481887, 185615.861318, 224.789452129
8100, 29.1598134771, 188525.493578, 225.150900135
8200, 29.282957942, 191447.669945, 225.509452336
8300, 29.4016658666, 194381.937239, 225.865124
8400, 29.5161594766, 197327.862597, 226.217932281
8500, 29.6267001066, 200285.037324, 226.567896581
8600, 29.7335894222, 203253.080862, 226.915038915
8700, 29.8371706888, 206231.644892, 227.259384259
8800, 29.9378300762, 209220.417555, 227.6009609
8900, 30.0359979871, 212219.127808, 227.939800778
9000, 30.1321503956, 215227.549917, 228.275939823
9100, 30.226810181, 218245.508079, 228.609418293
9200, 30.3205484432, 221272.88118, 228.940281101
9300, 30.4139857808, 224309.60768, 229.268578146
9400, 30.507793518, 227355.690626, 229.594364629
9500, 30.6026948604, 230411.202779, 229.917701381
9600, 30.6994659643, 233476.291863, 230.238655166
9700, 30.7989369, 236551.185905, 230.557298997
9800, 30.9019924915, 239636.19867, 230.873712433
9900, 31.0095730143, 242731.735172, 231.187981874
10000, 31.122674733, 245838.29725, 231.500200844
10100, 31.2423502601, 248956.489183, 231.810470271
10200, 31.3697087172, 252087.023337, 232.118898746
10300, 31.5059156816, 255230.725814, 232.425602779
10400, 31.652192898, 258388.542087, 232.730707036
10500, 31.8098177384, 261561.542587, 233.034344562
10600, 31.9801223915, 264750.928235, 233.336656987
10700, 32.1644927632, 267958.035864, 233.637794711
10800, 32.3643670697, 271184.343529, 233.937917078
10900, 32.581234106, 274431.475649, 234.237192511
11000, 32.8166311709, 277701.207967, 234.535798642
11100, 33.0721416308, 280995.472281, 234.8339224
11200, 33.3493921049, 284316.360915, 235.131760084
11300, 33.6500492536, 287666.130884, 235.429517396
11400, 33.975816154, 291047.207722, 235.727409448
11500, 34.3284282451, 294462.188924, 236.025660736
11600, 34.709648827, 297913.846962, 236.324505074
11700, 35.1212640997, 301405.131826, 236.624185491
11800, 35.5650777259, 304939.173047, 236.924954093
11900, 36.0429049078, 308519.281151, 237.227071878
12000, 36.5565659645, 312148.948493, 237.530808506
12100, 37.1078794029, 315831.849433, 237.836442029
12200, 37.6986544747, 319571.839781, 238.144258568
12300, 38.3306832169, 323372.955479, 238.45455194
12400, 39.0057319751, 327239.410463, 238.767623241
12500, 39.7255324132, 331175.593646, 239.083780363
12600, 40.4917720179, 335186.064978, 239.403337468
12700, 41.3060841109, 339275.550537, 239.726614402
12800, 42.1700373871, 343448.93659, 240.053936048
12900, 43.0851250038, 347711.262589, 240.385631625
13000, 44.0527532507, 352067.713055, 240.72203393
13100, 45.0742298409, 356523.608307, 241.063478515
13200, 46.1507518673, 361084.394007, 241.410302808
13300, 47.2833934791, 365755.629484, 241.762845179
13400, 48.4730933409, 370542.97481, 242.121443939
13500, 49.7206419461, 375452.176622, 242.486436291
13600, 51.0266688647, 380489.052669, 242.85815722
13700, 52.3916300155, 385659.475077, 243.236938334
13800, 53.8157950618, 390969.352356, 243.623106652
13900, 55.2992350381, 396424.610154, 244.016983348
14000, 56.8418103243, 402031.170787, 244.418882451
14100, 58.4431590921, 407794.931594, 244.829109509
14200, 60.1026863549, 413721.74216, 245.247960215
14300, 61.8195537594, 419817.380484, 245.675719018
14400, 63.5926702619, 426087.528171, 246.1126577
14500, 65.4206838349, 432537.744737, 246.559033955
14600, 67.3019743544, 439173.441141, 247.015089954
14700, 69.2346478135, 445999.852682, 247.481050917
14800, 71.2165320102, 453022.011374, 247.957123704
14900, 73.2451738507, 460244.717985, 248.443495426
15000, 75.3178384019, 467672.51388, 248.940332085
15100, 77.4315098186, 475309.65287, 249.447777271
15200, 79.582894258, 483160.073248, 249.965950904
15300, 81.7684248784, 491227.370224, 250.494948048
15400, 83.9842690025, 499514.768959, 251.034837803
15500, 86.226337504, 508025.098442, 251.585662286
15600, 88.4902964539, 516760.766399, 252.147435709
15700, 90.7715810388, 525723.735493, 252.720143576
15800, 93.065411734, 534915.501029, 253.303741991
15900, 95.3668126887, 544337.070377, 253.898157108
16000, 97.6706322478, 553988.944357, 254.503284708
16100, 99.9715655072, 563871.10076, 255.118989935
16200, 102.264178767, 573982.980239, 255.745107179
16300, 104.542935718, 584323.47472, 256.381440117
16400, 106.802225165, 594890.918517, 257.027761927
16500, 109.036390074, 605683.082286, 257.683815654
16600, 111.239757686, 616697.169939, 258.349314761
16700, 113.406670434, 627929.818609, 259.023943828
16800, 115.531517386, 639377.101745, 259.707359435
16900, 117.608765895, 651034.53535, 260.399191191
17000, 119.632993156, 662897.087393, 261.099042927
17100, 121.59891736, 674959.190355, 261.806494038
17200, 123.501428106, 687214.756859, 262.521100964
17300, 125.335615781, 699657.198286, 263.2423988
17400, 127.096799592, 712279.44627, 263.969903026
17500, 128.780553965, 725073.976913, 264.70311135
17600, 130.382733045, 738032.83755, 265.44150563
17700, 131.899493043, 751147.675861, 266.184553889
17800, 133.327312229, 764409.771088, 266.931712383
17900, 134.66300836, 777810.067144, 267.682427719
18000, 135.903753423, 791339.207317, 268.436139004
18100, 137.047085539, 804987.570313, 269.192280007
18200, 138.090917985, 818745.307345, 269.950281324
18300, 139.033545269, 832602.379977, 270.709572517
18400, 139.873646262, 846548.598428, 271.469584223
18500, 140.610284424, 860573.660044, 272.229750222
18600, 141.242905192, 874667.187648, 272.98950943
18700, 141.771330627, 888818.767494, 273.748307829
18800, 142.195751464, 903017.986555, 274.505600301
18900, 142.516716716, 917254.468883, 275.260852372
19000, 142.73512102, 931517.910832, 276.013541841
19100, 142.852189937, 945798.114892, 276.763160305
19200, 142.869463416, 960085.021975, 277.50921455
19300, 142.788777654, 974368.741959, 278.251227828
19400, 142.612245612, 988639.582345, 278.988740993
19500, 142.342236405, 1002888.07492, 279.721313514
19600, 141.981353828, 1017105.00028, 280.448524345
19700, 141.532414252, 1031281.41024, 281.16997267
19800, 140.998424127, 1045408.64792, 281.885278514
19900, 140.382557315, 1059478.36568, 282.594083217
20000, 139.688132461, 1073482.54065, 283.296049799
20100, 138.918590609, 1087413.48816, 283.990863184
20200, 138.07747323, 1101263.87283, 284.678230325
20300, 137.168400846, 1115026.71757, 285.357880207
20400, 136.195052368, 1128695.41042, 286.029563756
20500, 135.16114531, 1142263.70941, 286.693053641
20600, 134.070416949, 1155725.74544, 287.348143998
20700, 132.926606552, 1169076.02341, 287.994650062
20800, 131.733438721, 1182309.42154, 288.632407732
20900, 130.494607917, 1195421.18911, 289.261273067
21000, 129.213764199, 1208406.94275, 289.881121719
21100, 127.894500198, 1221262.66135, 290.491848322
21200, 126.540339331, 1233984.67965, 291.093365833
21300, 125.154725253, 1246569.68087, 291.685604835
21400, 123.741012524, 1259014.68819, 292.268512809
21500, 122.30245846, 1271317.05545, 292.842053389
21600, 120.842216149, 1283474.45706, 293.406205588
21700, 119.363328552, 1295484.8773, 293.960963025
21800, 117.868723679, 1307346.599, 294.506333134
21900, 116.361210749, 1319058.1919, 295.042336376
22000, 114.843477296, 1330618.5006, 295.569005457
22100, 113.31808715, 1342026.63227, 296.086384544
22200, 111.787479227, 1353281.94424, 296.594528502
22300, 110.25396707, 1364384.03145, 297.093502135
22400, 108.719739066, 1375332.71393, 297.583379448
22500, 107.186859287, 1386128.02434, 298.06424293
22600, 105.657268878, 1396770.19557, 298.53618285
22700, 104.132787945, 1407259.64856, 298.999296586
22800, 102.615117877, 1417596.98032, 299.45368797
22900, 101.105844038, 1427782.95214, 299.899466663
23000, 99.6064387962, 1437818.4782, 300.336747551
23100, 98.1182648191, 1447704.61439, 300.765650176
23200, 96.6425786001, 1457442.54754, 301.186298185
23300, 95.1805341696, 1467033.58495, 301.598818813
23400, 93.7331869485, 1476479.14438, 302.00334239
23500, 92.3014977097, 1485780.74437, 302.400001877
23600, 90.886336612, 1494939.99496, 302.788932425
23700, 89.4884872773, 1503958.58884, 303.17027097
23800, 88.108650882, 1512838.29293, 303.544155838
23900, 86.7474502391, 1521580.94029, 303.910726393
24000, 85.4054338489, 1530188.42253, 304.270122695
24100, 84.0830798996, 1538662.68255, 304.622485192
24200, 82.7808002001, 1547005.70772, 304.967954427
24300, 81.498944032, 1555219.52344, 305.306670774
24400, 80.2378019075, 1563306.18706, 305.638774189
24500, 78.9976092245, 1571267.7822, 305.964403984
24600, 77.7785498084, 1579106.4134, 306.283698625
24700, 76.5807593365, 1586824.20117, 306.596795536
24800, 75.4043286378, 1594423.27731, 306.903830933
24900, 74.2493068655, 1601905.78057, 307.204939669
25000, 73.1157045396, 1609273.8527, 307.500255094
25100, 72.0034964574, 1616529.63466, 307.78990893
25200, 70.9126244724, 1623675.26323, 308.074031162
25300, 69.8430001415, 1630712.86784, 308.352749939
25400, 68.7945072417, 1637644.56767, 308.626191488
25500, 67.7670041572, 1644472.46897, 308.894480044
25600, 66.7603261413, 1651198.66269, 309.157737779
25700, 65.7742874532, 1657825.2222, 309.416084755
25800, 64.8086833753, 1664354.20135, 309.669638876
25900, 63.8632921122, 1670787.63265, 309.918515851
26000, 62.9378765773, 1677127.52565, 310.162829167
26100, 62.0321860691, 1683375.86548, 310.402690068
26200, 61.1459578424, 1689534.61162, 310.63820754
26300, 60.2789185776, 1695605.69669, 310.8694883
26400, 59.4307857537, 1701591.02556, 311.096636796
26500, 58.6012689276, 1707492.47439, 311.319755208
26600, 57.7900709252, 1713311.88998, 311.538943454
26700, 56.9968889477, 1719051.08911, 311.754299201
26800, 56.221415598, 1724711.85806, 311.965917881
26900, 55.4633398305, 1730295.95215, 312.173892707
27000, 54.722347829, 1735805.09548, 312.378314695
27100, 53.9981238159, 1741240.98065, 312.579272686
27200, 53.2903507973, 1746605.26861, 312.776853377
27300, 52.5987112466, 1751899.58859, 312.971141343
27400, 51.9228877319, 1757125.53806, 313.162219072
27500, 51.2625634881, 1762284.68278, 313.350166994
27600, 50.6174229393, 1767378.55688, 313.535063517
27700, 49.9871521736, 1772408.66303, 313.716985059
27800, 49.3714393731, 1777376.47258, 313.896006083
27900, 48.7699752027, 1782283.42585, 314.072199136
28000, 48.1824531595, 1787130.93235, 314.245634886
28100, 47.6085698867, 1791920.37111, 314.416382154
28200, 47.0480254528, 1796653.09096, 314.584507959
28300, 46.5005236004, 1801330.41094, 314.750077553
28400, 45.9657719648, 1805953.62068, 314.913154458
28500, 45.443482266, 1810523.98073, 315.073800505
28600, 44.9333704758, 1815042.72306, 315.232075876
28700, 44.4351569608, 1819511.05143, 315.388039136
28800, 43.948566605, 1823930.14188, 315.541747276
28900, 43.4733289115, 1828301.14317, 315.693255747
29000, 43.0091780867, 1832625.17722, 315.8426185
29100, 42.5558531076, 1836903.33964, 315.989888023
29200, 42.1130977727, 1841136.70016, 316.135115376
29300, 41.6806607406, 1845326.30313, 316.278350226
29400, 41.2582955535, 1849473.16803, 316.419640887
29500, 40.8457606506, 1853578.28992, 316.559034351
29600, 40.4428193697, 1857642.63994, 316.696576323
29700, 40.0492399394, 1861667.16585, 316.832311256
29800, 39.6647954624, 1865652.79242, 316.966282386
29900, 39.2892638905, 1869600.42203, 317.098531759
30000, 38.9224279928, 1873510.93505, 317.229100268
30100, 38.5640753169, 1877385.1904, 317.358027684
30200, 38.2139981445, 1881224.02596, 317.485352685
30300, 37.8719934418, 1885028.2591, 317.611112884
30400, 37.5378628051, 1888798.68711, 317.735344864
30500, 37.2114124029, 1892536.08767, 317.858084202
30600, 36.8924529133, 1896241.21929, 317.979365499
30700, 36.5807994594, 1899914.82178, 318.099222407
30800, 36.2762715416, 1903557.61669, 318.217687655
