T, Cp, H, S
200, 20.7861495, 4157.2299, 146.6601592900726
300, 20.7861495, 6235.8448499999995, 155.08821764424258
400, 20.7861495, 8314.4598, 161.06802021069512
500, 20.7861495, 10393.07475, 165.7063154282732
600, 20.7861495, 12471.689699999999, 169.4960785648651
700, 20.7861495, 14550.30465, 172.7002776412811
800, 20.7861495, 16628.9196, 175.47588113131764
900, 20.786149500000008, 18707.53455, 177.92413691903508
1000, 20.786149500000537, 20786.149500000014, 180.11417634889574
1100, 20.786149500014908, 22864.764450000468, 182.09530799518075
1200, 20.786149500233016, 24943.379400008696, 183.90393948549507
1300, 20.78614950235552, 27021.994350103167, 185.56771917365657
1400, 20.786149516923032, 29100.609300859607, 187.10813856253995
1500, 20.786149592585964, 31179.224255398753, 188.54223470680478
1600, 20.78614990619354, 33257.839226948716, 189.8837420694815
1700, 20.786150986536704, 35336.454261336476, 191.1438945727749
1800, 20.786154179247117, 37415.06949290105, 192.33199806811828
1900, 20.786162478308253, 39493.685264184234, 193.45584785454182
2000, 20.78618183513466, 41572.30235188818, 194.522039032328
2100, 20.78622300418288, 43650.922350380715, 195.5362011339523
2200, 20.786303903412666, 45729.548266063524, 196.5031782204269
2300, 20.786452377508528, 47808.18536921985, 197.42716902591553
2400, 20.7867091729123, 49886.84233462947, 198.31183737689307
2500, 20.78713088303444, 51965.532680327124, 199.16040017755654
2600, 20.787792607534165, 54044.27648868246, 199.97569823925156
2700, 20.788790090425866, 56123.102369141765, 200.7602538266276
2800, 20.790241150473626, 58202.04960069247, 201.51631779869757
2900, 20.792286282959758, 60281.17037664722, 202.2459085099493
3000, 20.79508838314847, 62360.532065811014, 202.95084411954167
3100, 20.79883160903489, 64440.219402556635, 203.63276957756037
3200, 20.803719457517108, 66520.33652302925, 204.2931792765851
3300, 20.80997217022738, 68601.00877434833, 204.93343614678187
3400, 20.81782361184169, 70682.38423675549, 205.55478781391898
3500, 20.82751777568212, 72764.6349136526, 206.15838031829787
3600, 20.839305071034165, 74847.95756002824, 206.74526979872368
3700, 20.853438536639743, 76932.57413478191, 207.3164324722065
3800, 20.87017010823297, 79018.7318761156, 207.8727731819707
3900, 20.889747047469562, 81106.7030109453, 208.41513273982807
4000, 20.912408617450414, 83196.78411891825, 208.944294251332
4100, 20.938383068039247, 85289.29517903413, 209.46098858138265
4200, 20.967884973601997, 87384.57833214427, 209.9658990926193
4300, 21.001112947476503, 89482.99639592796, 210.45966576791383
4400, 21.038247741859063, 91584.93117057183, 210.94288881073575
4500, 21.07945072901957, 93690.78157358427, 211.41613180244929
4600, 21.124862749763206, 95800.96164124552, 211.87992448323212
4700, 21.174603307635426, 97915.898432395, 212.33476521287503
4800, 21.22877008222313, 100036.02986783213, 212.7811231589193
4900, 21.287438731704277, 102161.80253576713, 213.21944025214907
5000, 21.350662953197926, 104293.66949068212, 213.65013294317646
5100, 21.418474769140566, 106432.08806979172, 214.0735937885493
5200, 21.490885008564582, 108577.51774814104, 214.4901928903347
